id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;5;41.6500;32.0000;1.5000;0.0000;6.4000;1.7500;1 23 27 43 53
100;6;41.3583;32.0000;1.2500;0.0000;6.4000;1.7083;5 23 31 44 51 56
101;6;42.3583;32.0000;1.6250;0.0000;6.4000;2.3333;13 20 26 43 51 56
102;5;41.1000;32.0000;0.7500;0.0000;6.4000;1.9500;8 24 27 39 56
106;4;42.6625;34.0000;1.0000;0.0000;5.1000;2.5625;4 23 41 53
107;7;42.3286;32.0000;1.7500;0.0000;6.4000;2.1786;1 22 27 42 45 46 53
110;5;41.8000;32.0000;1.0000;0.0000;6.4000;2.4000;10 16 27 41 53
111;9;42.0944;32.0000;1.5000;0.0000;6.4000;2.1944;4 22 33 43 45 46 53 55 57
112;4;44.2125;32.0000;3.2500;0.0000;6.4000;2.5625;8 20 28 43
113;6;40.3167;32.0000;0.6250;0.0000;6.4000;1.2917;13 19 26 40 51 56
114;5;42.5500;32.0000;2.7500;0.0000;6.4000;1.4000;13 20 28 39 56
117;7;42.7214;32.0000;1.7500;0.0000;6.4000;2.5714;4 17 33 39 49 52 55
118;5;41.7500;32.0000;1.7500;0.0000;6.4000;1.6000;12 20 32 38 51
120;8;40.9000;32.0000;1.2500;0.0000;6.4000;1.2500;4 23 29 38 45 48 53 56
121;4;41.2750;32.0000;0.5000;0.0000;6.4000;2.3750;13 16 26 43
123;4;41.0250;32.0000;0.7500;0.0000;6.4000;1.8750;13 23 31 43
124;5;41.5500;32.0000;1.7500;0.0000;6.4000;1.4000;13 19 29 43 51
125;9;40.4972;32.0000;0.3750;0.0000;6.4000;1.7222;13 20 29 41 47 50 53 55 56
126;5;43.0000;32.0000;2.5000;0.0000;6.4000;2.1000;3 23 30 38 51
127;4;41.6500;32.0000;0.8750;0.0000;6.4000;2.3750;13 23 31 43
130;7;42.7929;32.0000;2.0000;0.0000;6.4000;2.3929;3 18 30 43 49 52 53
15;5;41.5250;32.0000;0.3750;0.0000;6.4000;2.7500;13 22 26 44 53
18;8;42.2750;32.0000;1.1250;0.0000;6.4000;2.7500;4 22 30 37 51 53 56 57
19;6;41.0667;32.0000;0.6250;0.0000;6.4000;2.0417;13 23 27 41 52 53
2;1;40.9000;38.0000;0.0000;0.0000;1.9000;1.0000;23
21;5;42.2500;32.0000;1.0000;0.0000;6.4000;2.8500;6 20 27 35 49
23;8;42.5562;32.0000;1.7500;0.0000;6.4000;2.4062;13 18 27 40 45 51 53 55
24;4;41.9000;32.0000;1.0000;0.0000;6.4000;2.5000;4 21 27 43
27;4;42.2475;34.0000;1.3333;0.0017;5.1000;1.8125;7 23 43 53
28;4;41.2750;32.0000;0.6250;0.0000;6.4000;2.2500;13 22 27 43
29;5;41.5750;32.0000;0.6250;0.0000;6.4000;2.5500;12 23 28 43 55
3;7;42.2571;32.0000;1.2500;0.0000;6.4000;2.6071;5 23 31 41 45 53 55
31;8;41.6187;32.0000;1.5000;0.0000;6.4000;1.7188;12 17 31 39 50 53 56 57
32;3;43.2483;38.0000;1.0000;0.0150;1.9000;2.3333;23 53 57
33;6;41.3167;32.0000;1.1250;0.0000;6.4000;1.7917;4 22 31 41 48 53
34;6;41.5250;32.0000;1.2500;0.0000;6.4000;1.8750;12 23 27 43 51 53
35;4;40.8375;32.0000;0.5000;0.0000;6.4000;1.9375;10 20 27 43
36;5;41.2000;32.0000;1.5000;0.0000;6.4000;1.3000;4 19 28 39 56
37;6;41.5667;32.0000;0.6250;0.0000;6.4000;2.5417;3 18 28 35 51 53
41;6;40.6083;32.0000;0.6250;0.0000;6.4000;1.5833;10 17 28 43 46 53
42;8;42.2125;32.0000;2.2500;0.0000;6.4000;1.5625;4 22 31 41 45 46 53 57
45;4;41.8375;32.0000;0.6250;0.0000;6.4000;2.8125;13 20 28 43
46;4;43.0250;32.0000;2.7500;0.0000;6.4000;1.8750;12 20 29 42
48;6;41.5667;32.0000;0.7500;0.0000;6.4000;2.4167;4 23 31 39 50 53
49;4;41.8375;32.0000;0.5000;0.0000;6.4000;2.9375;13 20 26 43
5;7;41.2929;32.0000;0.7500;0.0000;6.4000;2.1429;13 17 30 43 49 52 53
53;6;42.8167;32.0000;2.2500;0.0000;6.4000;2.1667;4 23 32 44 51 53
54;7;40.4000;32.0000;0.2500;0.0000;6.4000;1.7500;2 21 31 38 48 51 53
56;13;40.7942;32.0000;0.1250;0.0000;6.4000;2.2692;7 24 30 40 45 46 47 48 49 50 52 53 55
57;6;43.0667;32.0000;2.2500;0.0000;6.4000;2.4167;12 23 26 39 53 56
58;6;40.6083;32.0000;0.5000;0.0000;6.4000;1.7083;5 22 27 41 48 53
59;7;41.2750;32.0000;0.8750;0.0000;6.4000;2.0000;13 20 28 43 46 49 53
6;5;42.1000;32.0000;1.2500;0.0000;6.4000;2.4500;13 23 27 39 53
61;7;42.7571;32.0000;1.5000;0.0000;6.4000;2.8571;3 17 31 43 53 56 57
62;5;41.6250;32.0000;0.6250;0.0000;6.4000;2.6000;4 18 30 39 53
63;4;41.4625;32.0000;1.3750;0.0000;6.4000;1.6875;13 22 27 39
65;8;41.3062;32.0000;0.6250;0.0000;6.4000;2.2812;13 20 27 41 47 52 53 56
67;4;41.7750;32.0000;0.5000;0.0000;6.4000;2.8750;13 22 26 39
68;4;41.4125;36.0000;0.0000;0.0000;3.6000;1.8125;10 23 49 53
7;7;41.6857;32.0000;1.0000;0.0000;6.4000;2.2857;1 23 27 42 51 53 56
71;8;41.7750;32.0000;0.7500;0.0000;6.4000;2.6250;13 23 31 41 46 49 53 55
72;9;41.9833;32.0000;1.0000;0.0000;6.4000;2.5833;12 22 31 43 46 48 53 55 57
74;4;40.9625;32.0000;0.7500;0.0000;6.4000;1.8125;3 21 27 35
