id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;5;41.9500;32.0000;2.0000;0.0000;6.4000;1.5500;13 16 28 38 53
100;6;41.5667;32.0000;1.5000;0.0000;6.4000;1.6667;13 22 29 38 51 56
101;5;41.8417;32.0000;1.3750;0.0167;6.4000;2.0500;13 23 27 42 51
102;6;41.7750;32.0000;1.0000;0.0000;6.4000;2.3750;6 20 26 39 51 56
106;5;43.0000;32.0000;2.0000;0.0000;6.4000;2.6000;10 19 27 43 53
107;7;41.4000;32.0000;1.0000;0.0000;6.4000;2.0000;13 23 31 43 45 53 55
110;6;41.6917;32.0000;0.7500;0.0000;6.4000;2.5417;1 18 27 43 53 57
111;10;41.7250;32.0000;1.2500;0.0000;6.4000;2.0750;13 23 27 43 45 46 48 53 55 57
112;3;42.9833;38.0000;1.0000;0.0000;1.9000;2.0833;23 49 53
113;6;40.1917;32.0000;0.3750;0.0000;6.4000;1.4167;13 18 29 35 51 56
114;5;42.6500;32.0000;2.7500;0.0000;6.4000;1.5000;12 20 26 42 56
117;7;42.3643;32.0000;1.5000;0.0000;6.4000;2.4643;4 22 27 42 49 52 53
118;5;41.0000;32.0000;1.0000;0.0000;6.4000;1.6000;13 23 31 38 51
120;5;40.8000;32.0000;1.2500;0.0000;6.4000;1.1500;4 23 25 41 53
121;4;41.2750;32.0000;0.5000;0.0000;6.4000;2.3750;13 16 26 43
123;5;42.0000;32.0000;1.5000;0.0000;6.4000;2.1000;13 18 28 38 53
124;5;40.8500;32.0000;1.2500;0.0000;6.4000;1.2000;13 23 32 38 51
125;8;40.4625;32.0000;0.3750;0.0000;6.4000;1.6875;13 22 31 41 45 50 53 56
126;7;43.5786;32.0000;2.5000;0.0000;6.4000;2.6786;5 23 30 39 51 56 57
127;4;42.3375;32.0000;1.6250;0.0000;6.4000;2.3125;10 22 27 43
130;7;42.2929;32.0000;1.5000;0.0000;6.4000;2.3929;2 23 26 43 49 52 53
15;4;41.4000;32.0000;0.8750;0.0000;6.4000;2.1250;4 21 30 41
18;8;42.1812;32.0000;1.1250;0.0000;6.4000;2.6562;12 23 30 38 48 51 56 57
19;4;40.9625;32.0000;1.1250;0.0000;6.4000;1.4375;2 21 27 41
2;4;42.4000;32.0000;2.0000;0.0000;6.4000;2.0000;10 18 28 43
21;4;41.9833;32.0000;0.3333;0.0000;6.4000;3.2500;8 15 35 49
23;6;41.7333;32.0000;1.2500;0.0000;6.4000;2.0833;10 22 31 41 45 53
24;5;41.6000;32.0000;1.0000;0.0000;6.4000;2.2000;2 17 27 41 53
27;4;41.3917;34.0000;0.6667;0.0000;5.1000;1.6250;13 17 43 53
28;4;41.9000;32.0000;0.8750;0.0000;6.4000;2.6250;1 22 26 43
29;6;41.6083;32.0000;0.8750;0.0000;6.4000;2.3333;10 23 27 43 53 57
3;6;42.2750;32.0000;1.2500;0.0000;6.4000;2.6250;5 23 31 44 46 53
31;8;41.2750;32.0000;1.2500;0.0000;6.4000;1.6250;4 23 26 39 48 53 56 57
