id_aluno;disciplina;sequencia_materiais
72;ICFA;1 3 30 33
72;ICFBDES;4 23 27 41 55
72;ICFSOOC;0 15 17 21
72;ICHCC;1 33 35 48 16
72;ICLSN;1 4 29 36 43 53
72;ICRC;8 10 16 22 25 32 37
74;ICFA;1 5 29 32
74;ICFBDES;7 17 27 35
74;ICFSOOC;7 21
74;ICHCC;11 22 33 42 51 61
74;ICLSN;1 4 28 29
74;ICRC;8 29
77;ICFA;3 4 13 21 30 32 38
77;ICFBDES;13 23 27 41 49
77;ICFSOOC;10 17 21
77;ICHCC;11 18 33 35 50 16
77;ICLSN;1 4 28 29
77;ICRC;8 32 37
79;ICFA;0 3 32 33
79;ICFBDES;10 20 27 35
79;ICFSOOC;12 19 24
79;ICHCC;11 22 33 43 50 16
79;ICLSN;1 4 28 29
79;ICRC;3 37
80;ICFA;0 1 31 33
80;ICFBDES;10 20 27 41 53
80;ICFSOOC;3 21
80;ICHCC;11 22 24 43 51 61
80;ICLSN;1 4 29 34 50
80;ICRC;8 29
82;ICFA;1 3 30 38
82;ICFBDES;13 20 26 39 49
82;ICFSOOC;14 17 24
82;ICHCC;11 22 33 43 50 16
82;ICLSN;1 27
82;ICRC;3 37
84;ICFA;1 3 30 38
84;ICFBDES;13 23 31 41 51
84;ICFSOOC;7 13 17 21 29
84;ICHCC;2 33 43 52 12
84;ICLSN;3 29
84;ICRC;4 8 25 32 37
85;ICFA;5 6 20 32 38
85;ICFBDES;5 15 43 45 52
85;ICFSOOC;11 19 21
85;ICHCC;1 33 44 52 59
85;ICLSN;9 11 14 18 27 35 54
85;ICRC;3 10 12 13 15 23 25 29 36
88;ICFA;3 4 13 22 30 32 38
88;ICFBDES;13 23 27 41 49
88;ICFSOOC;10 17 21
88;ICHCC;11 18 26 35 51 57
88;ICLSN;1 4 28 29
88;ICRC;11 16 21 31 37
89;ICFA;3 11 22 32 37
89;ICFBDES;13 23 31 41 49
89;ICFSOOC;12 14 17 19 21 24
89;ICHCC;1 27 35 47 16
89;ICLSN;1 10 14 28 30 54
89;ICRC;3 6 29 37
90;ICFA;1 3 30 33
90;ICFBDES;12 23 27 39 49
90;ICFSOOC;2 21
90;ICHCC;11 22 33 40 50 16
90;ICLSN;1 4 29 32 53
90;ICRC;1 8 33 37
95;ICFA;1 38
95;ICFBDES;13 23 27 41 49
95;ICFSOOC;1 29
95;ICHCC;0 31 41 53 16
95;ICLSN;1 32 53
95;ICRC;8 32 37
99;ICFA;1 3 30 38
99;ICFBDES;13 23 28 41 49
99;ICFSOOC;0 15 17 26
99;ICHCC;4 18 33 39 50 16
99;ICLSN;4 27
99;ICRC;10 17 20 29
100;ICFA;1 4 30 38
100;ICFBDES;13 23 31 41 51
100;ICFSOOC;0 8 15 17 26 29
100;ICHCC;0 28 39 53 16
100;ICLSN;3 27
100;ICRC;3 10 17 21 29 37
106;ICFA;3 38
106;ICFBDES;13 23 27 41 49
106;ICFSOOC;0 10 17 26
106;ICHCC;0 28 35 53 16
106;ICLSN;4 29
106;ICRC;8 32 37
107;ICFA;0 2 3 29 30 33
107;ICFBDES;10 23 28 41 49
107;ICFSOOC;0 15 17 26
107;ICHCC;11 22 33 41 50 16
107;ICLSN;1 35 53
107;ICRC;11 16 21 29
110;ICFA;0 3 30 33
110;ICFBDES;12 23 27 39 49
110;ICFSOOC;7 13 19 27 29
110;ICHCC;2 30 43 52 12
110;ICLSN;1 32 53
110;ICRC;8 32 37
111;ICFA;0 2 3 29 30 33
111;ICFBDES;10 23 31 41 55
111;ICFSOOC;3 30
111;ICHCC;1 33 40 50 16
111;ICLSN;3 29
111;ICRC;8 10 15 22 25 29
118;ICFA;1 3 30 38
118;ICFBDES;13 23 26 38 49
118;ICFSOOC;8 26
118;ICHCC;11 22 33 39 50 16
118;ICLSN;5 27
118;ICRC;10 16 21 29
121;ICFA;1 3 30 32
121;ICFBDES;13 16 26 39 49
121;ICFSOOC;0
121;ICHCC;11 18 28 41 50 16
121;ICLSN;1 27
121;ICRC;11 15 21 33 37
124;ICFA;1 4 30 38
124;ICFBDES;13 23 26 38 49
124;ICFSOOC;15 17 21
124;ICHCC;11 18 31 39 50 16
124;ICLSN;5 27
124;ICRC;3 10 17 19 28 35
125;ICFA;1 3 30 38
125;ICFBDES;13 22 29 41 56
125;ICFSOOC;8 12 19 21 29
125;ICHCC;2 30 43 52 16
125;ICLSN;3 27
125;ICRC;2 8 29 30
130;ICFA;3 4 13 21 30 32 33
130;ICFBDES;10 23 27 41 49
130;ICFSOOC;0 10
130;ICHCC;11 17 25 41 50 16
130;ICLSN;10 18 28
130;ICRC;11 12 16 21 29
