id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;6;38.2617;28.0000;0.4450;0.0000;8.4000;1.4167;10 16 18 28 39 53
100;8;43.1313;28.0000;1.8062;0.0000;11.2000;2.1250;10 21 27 37 49 53 55 59
101;6;40.4767;28.0000;0.9883;0.0467;8.4000;3.0417;10 14 16 31 34 55
102;7;41.1714;28.0000;0.8000;0.0000;9.8000;2.5714;7 20 21 33 40 49 55
106;6;40.3200;28.0000;1.1683;0.0433;8.4000;2.7083;10 16 19 29 39 52
107;6;39.2983;28.0000;0.8150;0.0000;8.4000;2.0833;10 15 30 35 53 59
110;6;40.0000;28.0000;0.9333;0.0000;8.4000;2.6667;9 22 32 44 51 56
111;8;44.0350;28.0000;1.1225;0.0000;12.6000;2.3125;2 20 32 37 45 46 55 59
112;6;41.4417;28.0000;3.0000;0.0000;8.4000;2.0417;8 18 24 35 51 60
113;6;39.1083;28.0000;0.6667;0.0000;8.4000;2.0417;6 21 30 37 46 59
114;6;39.9833;28.0000;2.0000;0.0000;8.4000;1.5833;9 14 20 26 40 48
117;6;40.5550;28.0000;0.8983;0.5900;8.4000;2.6667;5 18 20 31 34 53
118;6;39.7950;28.0000;1.2217;0.0067;8.4000;2.1667;5 15 30 39 53 59
120;11;47.1100;28.0000;0.9464;0.0000;16.8000;1.3636;2 14 20 21 27 34 37 49 53 55 59
121;6;38.8383;28.0000;0.6467;0.0000;8.4000;1.7917;11 16 19 26 40 52
123;6;39.0033;28.0000;0.5200;0.0000;8.4000;2.0833;11 16 19 30 41 53
124;6;39.4533;28.0000;0.8450;0.0000;8.4000;2.2083;8 14 20 28 37 48
125;12;48.7750;28.0000;0.9167;1.1417;16.8000;1.9167;8 15 20 21 27 34 37 49 53 55 56 59
126;9;46.6000;28.0000;2.6667;0.0000;12.6000;3.3333;10 13 20 28 34 37 53 55 59
127;6;40.5183;28.0000;1.0350;0.0000;8.4000;3.0833;3 12 18 29 34 50
130;6;40.2283;28.0000;1.2033;0.0000;8.4000;2.6250;8 22 32 35 49 59
15;5;40.5280;28.0000;0.9280;0.0000;8.4000;3.2000;2 25 43 55 59
18;12;50.0342;28.0000;0.9050;1.0167;16.8000;3.3125;10 14 20 30 34 37 45 49 53 55 59 60
19;6;39.3183;28.0000;0.3767;0.0000;8.4000;2.5417;4 20 22 27 37 53
2;6;39.5667;28.0000;1.6667;0.0000;8.4000;1.5000;10 19 31 43 51 58
21;6;40.0033;28.0000;1.0200;0.0000;8.4000;2.5833;10 18 20 29 38 55
23;9;44.2939;28.0000;1.2578;0.2417;12.6000;2.1944;9 12 20 21 27 34 37 55 59
24;6;40.3800;28.0000;0.9800;0.0000;8.4000;3.0000;5 21 26 38 55 59
27;6;38.5000;28.0000;0.5167;0.0000;8.4000;1.5833;10 16 17 33 35 48
28;6;38.9467;28.0000;0.2967;0.0000;8.4000;2.2500;10 19 20 30 43 45
29;6;39.4400;28.0000;0.5400;0.0000;8.4000;2.5000;10 22 31 39 52 56
3;8;44.4563;28.0000;1.9750;0.0000;11.2000;3.2812;8 14 30 37 49 53 55 59
31;6;42.0767;28.0000;1.4883;0.8717;9.8000;1.9167;2 27 37 49 53 59
32;6;41.2750;28.0000;2.3333;0.0000;8.4000;2.5417;11 12 19 27 35 48
33;9;44.2267;28.0000;1.0978;0.2233;12.6000;2.3056;3 14 20 26 37 48 49 53 55
34;7;40.3486;28.0000;0.9771;0.0000;9.8000;1.5714;10 19 20 27 38 52 60
35;6;38.6633;28.0000;0.7217;0.0000;8.4000;1.5417;10 18 33 40 51 60
36;6;39.2933;28.0000;0.7683;0.0000;8.4000;2.1250;7 21 27 37 52 56
37;6;39.5067;28.0000;0.4817;0.0000;8.4000;2.6250;5 21 27 43 55 59
41;6;38.1533;28.0000;0.3783;0.0000;8.4000;1.3750;10 19 20 30 43 55
42;8;43.8217;28.0000;2.7500;0.1217;11.2000;1.7500;9 19 27 34 37 49 53 59
45;6;39.0717;28.0000;0.4633;0.0000;8.4000;2.2083;6 16 21 26 36 50
46;6;40.9000;28.0000;2.8333;0.1667;8.4000;1.5000;5 13 23 40 47 58
48;8;43.2688;28.0000;1.3500;0.0000;11.2000;2.7188;5 21 27 37 45 49 53 59
49;6;38.8267;28.0000;0.7183;0.0000;8.4000;1.7083;11 22 25 35 47 60
5;5;39.1040;28.0000;0.5540;0.0000;8.4000;2.1500;2 20 23 37 47
53;8;44.6592;28.0000;2.8750;0.0217;11.2000;2.5625;5 19 27 34 37 49 55 59
54;11;48.6714;28.0000;0.6527;0.6050;16.8000;2.6136;2 12 20 27 34 37 49 53 55 58 59
56;13;48.7277;28.0000;0.5277;0.0000;18.2000;2.0000;10 20 21 30 34 37 45 46 49 53 55 59 60
57;6;41.6500;28.0000;2.3333;0.0000;8.4000;2.9167;10 14 27 38 53 60
58;8;42.0063;28.0000;0.8687;0.0000;11.2000;1.9375;10 14 20 27 34 37 49 59
59;6;38.5900;28.0000;0.8983;0.0000;8.4000;1.2917;10 21 30 35 51 59
6;5;39.5680;28.0000;0.5680;0.0000;8.4000;2.6000;1 16 33 41 47
61;5;40.3223;28.0000;0.6140;0.1083;8.4000;3.2000;2 20 33 34 52
62;6;40.1183;28.0000;0.7183;0.0000;8.4000;3.0000;8 21 31 36 53 59
63;6;39.7000;28.0000;1.0083;0.0000;8.4000;2.2917;3 12 22 30 41 48
65;7;42.3171;28.0000;0.5814;0.0000;11.2000;2.5357;2 33 34 37 49 55 59
67;6;39.1467;28.0000;0.2467;0.0000;8.4000;2.5000;10 18 26 36 52 60
68;6;39.2883;28.0000;0.8050;0.0000;8.4000;2.0833;8 22 28 42 52 60
7;6;40.4217;28.0000;1.2300;0.0000;8.4000;2.7917;8 14 26 37 51 59
71;6;39.2217;28.0000;0.4883;0.0000;8.4000;2.3333;5 14 27 36 53 56
72;8;44.1692;28.0000;1.2687;0.8567;11.2000;2.8438;4 14 30 34 37 49 53 59
74;6;41.0567;28.0000;0.8883;0.8517;8.4000;2.9167;6 14 20 25 44 49
76;5;40.7260;28.0000;0.7260;0.0000;8.4000;3.6000;2 25 34 55 58
77;5;40.7360;28.0000;1.1860;0.0000;8.4000;3.1500;1 20 31 37 55
79;6;40.3417;28.0000;1.1500;0.0000;8.4000;2.7917;3 22 28 43 47 60
80;6;39.8083;28.0000;0.6167;0.0000;8.4000;2.7917;7 21 24 37 52 59
81;6;38.6600;28.0000;0.3433;0.0000;8.4000;1.9167;5 15 20 30 38 54
82;6;38.7217;28.0000;0.4883;0.0000;8.4000;1.8333;6 15 16 33 35 51
83;12;50.0042;28.0000;2.7500;0.5583;16.8000;1.8958;10 14 20 27 34 37 48 49 53 55 56 59
84;8;44.0550;28.0000;0.5800;0.0000;12.6000;2.8750;2 16 33 34 37 45 49 55
85;12;47.6042;28.0000;0.6667;1.0750;16.8000;1.0625;10 19 20 27 34 37 45 46 49 53 55 59
88;6;40.6917;28.0000;1.3333;0.3333;8.4000;2.6250;5 16 19 27 34 45
89;8;43.3779;28.0000;1.2312;0.3217;11.2000;2.6250;8 13 27 34 37 45 49 59
90;6;39.6217;28.0000;0.6383;0.0000;8.4000;2.5833;7 22 29 37 49 59
91;6;38.7033;28.0000;0.8450;0.0000;8.4000;1.4583;7 21 27 43 49 56
92;11;49.0591;28.0000;0.8955;0.0000;16.8000;3.3636;2 20 21 27 37 45 49 53 55 56 59
95;6;39.1800;28.0000;0.1133;0.0000;8.4000;2.6667;10 16 19 25 41 53
96;9;46.1833;28.0000;2.7778;0.0000;12.6000;2.8056;10 19 20 33 34 37 53 55 59
97;10;47.8503;28.0000;1.0020;1.0733;15.4000;2.3750;2 20 27 34 37 49 53 55 56 59
99;6;39.1050;28.0000;0.9550;0.0000;8.4000;1.7500;10 16 22 27 34 55
