id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;6;38.7200;28.0000;0.7783;0.0000;8.4000;1.5417;10 18 28 40 50 59
100;8;44.8612;28.0000;1.7925;0.0000;12.6000;2.4688;1 27 37 45 46 49 55 56
101;6;40.0967;28.0000;0.8217;0.0000;8.4000;2.8750;9 21 27 39 53 59
102;6;40.0083;28.0000;0.6500;0.0000;8.4000;2.9583;8 21 32 34 55 56
106;6;40.5683;28.0000;1.1683;0.0000;8.4000;3.0000;10 13 28 41 54 60
107;5;40.0280;28.0000;1.4780;0.0000;8.4000;2.1500;0 32 37 54 59
110;6;39.8500;28.0000;0.7000;0.0000;8.4000;2.7500;6 12 19 30 34 50
111;8;42.4800;28.0000;0.8113;0.0000;11.2000;2.4688;10 19 27 34 37 49 53 59
112;6;40.3583;28.0000;2.0000;0.0000;8.4000;1.9583;10 16 18 26 39 51
113;6;39.6917;28.0000;1.0000;0.0000;8.4000;2.2917;5 13 20 32 34 45
114;6;40.1500;28.0000;2.1667;0.0000;8.4000;1.5833;5 18 20 28 39 47
117;6;39.3567;28.0000;0.7317;0.0583;8.4000;2.1667;10 19 20 27 35 53
118;7;40.7557;28.0000;0.9914;0.0000;9.8000;1.9643;6 20 21 25 39 53 55
120;12;47.8917;28.0000;0.8892;0.8067;16.8000;1.3958;8 20 21 27 34 37 45 48 49 53 55 59
121;6;39.1717;28.0000;0.6467;0.0000;8.4000;2.1250;4 19 20 26 43 50
123;5;39.6920;28.0000;0.9920;0.0000;8.4000;2.3000;1 20 32 40 52
124;6;39.5783;28.0000;0.6783;0.0000;8.4000;2.5000;6 14 27 37 48 56
125;11;47.3227;28.0000;0.6136;0.0000;16.8000;1.9091;2 20 30 34 37 45 49 53 55 59 60
126;9;46.6000;28.0000;2.7778;0.0000;12.6000;3.2222;10 12 19 20 27 37 45 49 55
127;6;40.5333;28.0000;1.0350;0.2233;8.4000;2.8750;7 12 22 24 36 47
130;6;39.6033;28.0000;0.8700;0.0000;8.4000;2.3333;8 21 30 35 55 59
15;6;40.9233;28.0000;1.3150;0.0000;8.4000;3.2083;6 18 31 34 55 59
18;11;49.1527;28.0000;1.0800;0.0000;16.8000;3.2727;2 12 14 20 27 34 37 49 53 55 59
19;6;39.1967;28.0000;0.7967;0.0000;8.4000;2.0000;10 21 33 34 46 59
2;6;39.3167;28.0000;1.5000;0.0000;8.4000;1.4167;11 18 20 31 39 52
21;5;40.3240;28.0000;0.7740;0.0000;8.4000;3.1500;0 33 44 46 60
23;7;43.1914;28.0000;1.2286;0.1200;11.2000;2.6429;2 26 37 49 55 56 59
24;6;40.6017;28.0000;1.1600;0.0000;8.4000;3.0417;8 21 27 41 45 59
27;6;38.7667;28.0000;0.9500;0.0000;8.4000;1.4167;11 16 18 33 39 52
28;6;38.9017;28.0000;0.3767;0.0000;8.4000;2.1250;11 20 21 30 36 52
29;6;39.8117;28.0000;0.7867;0.0000;8.4000;2.6250;10 19 23 37 51 57
3;9;45.6028;28.0000;1.7511;0.1683;12.6000;3.0833;9 21 27 34 45 49 53 55 58
31;7;42.3929;28.0000;1.3714;0.0000;11.2000;1.8214;2 20 27 37 53 55 59
32;6;41.1500;28.0000;2.3333;0.0000;8.4000;2.4167;10 12 19 26 38 51
33;9;43.8644;28.0000;1.3200;0.0000;12.6000;1.9444;3 21 26 34 37 45 53 55 59
34;6;38.5700;28.0000;0.6600;0.0100;8.4000;1.5000;10 16 19 29 37 55
35;6;38.3350;28.0000;0.3517;0.0000;8.4000;1.5833;6 22 33 43 52 61
36;5;39.2227;28.0000;0.4260;0.2467;8.4000;2.1500;1 20 30 36 53
37;6;39.9283;28.0000;0.6117;0.0000;8.4000;2.9167;8 22 30 37 55 60
41;6;38.6950;28.0000;0.7117;0.0000;8.4000;1.5833;5 20 22 25 43 47
42;8;44.1004;28.0000;2.6250;0.4317;11.2000;1.8438;5 14 20 27 34 37 49 53
45;6;39.6867;28.0000;1.0367;0.0000;8.4000;2.2500;6 18 20 33 44 54
46;6;39.8583;28.0000;2.3333;0.0000;8.4000;1.1250;5 17 26 34 50 60
48;8;43.0188;28.0000;1.4750;0.0000;11.2000;2.3438;10 20 21 27 37 49 55 59
49;6;38.9100;28.0000;0.5517;0.0000;8.4000;1.9583;10 12 22 23 36 51
5;6;38.8617;28.0000;0.5450;0.0000;8.4000;1.9167;10 20 21 27 34 55
53;8;45.4858;28.0000;2.5000;1.2233;11.2000;2.5625;10 14 20 27 34 37 53 55
54;10;47.8723;28.0000;0.6240;1.0733;15.4000;2.7750;2 20 27 34 37 49 53 55 56 59
56;12;47.4292;28.0000;0.5458;0.0000;16.8000;2.0833;10 20 21 27 34 37 45 49 53 55 56 59
57;6;41.4833;28.0000;2.3333;0.0000;8.4000;2.7500;10 21 26 37 53 60
58;8;42.0150;28.0000;0.8462;0.0000;11.2000;1.9688;10 19 27 34 37 49 53 59
59;6;38.6733;28.0000;0.5650;0.0000;8.4000;1.7083;8 16 22 30 34 51
6;6;38.9983;28.0000;0.3067;0.0000;8.4000;2.2917;10 16 19 27 41 55
61;6;40.1617;28.0000;0.7617;0.0000;8.4000;3.0000;6 18 27 37 54 59
62;6;40.1617;28.0000;0.8450;0.0000;8.4000;2.9167;7 19 31 37 55 59
63;6;38.6400;28.0000;0.3417;0.0233;8.4000;1.8750;3 16 19 26 35 52
65;6;42.1067;28.0000;0.7500;0.9317;9.8000;2.6250;2 27 37 49 55 59
67;6;39.1817;28.0000;0.4067;0.0000;8.4000;2.3750;10 19 28 43 55 59
68;6;39.0900;28.0000;0.7317;0.0000;8.4000;1.9583;9 22 26 36 50 60
7;6;40.1300;28.0000;1.0633;0.0000;8.4000;2.6667;10 14 26 35 53 59
71;6;39.0550;28.0000;0.6550;0.0000;8.4000;2.0000;10 16 18 27 37 55
72;8;43.2188;28.0000;1.2687;0.0000;11.2000;2.7500;3 14 27 37 49 53 55 59
74;6;39.9133;28.0000;0.5550;0.0000;8.4000;2.9583;3 15 29 42 49 59
76;6;40.8250;28.0000;0.8967;0.0283;8.4000;3.5000;10 14 20 29 37 52
77;6;40.6317;28.0000;1.0717;0.0767;8.4000;3.0833;3 18 20 27 36 49
79;6;39.9083;28.0000;1.0500;0.0000;8.4000;2.4583;11 18 31 35 52 60
80;6;40.1250;28.0000;0.8500;0.0000;8.4000;2.8750;10 13 20 24 37 46
81;6;38.7850;28.0000;0.8433;0.0000;8.4000;1.5417;11 15 16 32 43 55
82;5;39.6360;28.0000;0.9860;0.0000;8.4000;2.2500;0 28 39 50 60
83;10;49.3983;28.0000;3.0000;1.0733;15.4000;1.9250;2 20 27 34 37 49 53 55 56 59
84;8;42.6125;28.0000;0.8188;0.0000;11.2000;2.5938;10 20 21 27 37 49 55 59
85;12;47.3692;28.0000;0.6667;0.7567;16.8000;1.1458;3 14 20 27 34 37 45 49 53 55 59 60
88;6;41.0250;28.0000;1.3333;0.0000;8.4000;3.2917;10 14 27 38 53 56
89;6;42.7850;28.0000;1.1133;0.8717;9.8000;3.0000;2 27 37 49 53 59
90;7;40.7600;28.0000;0.6029;0.0000;9.8000;2.3571;6 22 31 40 45 55 59
91;6;38.7867;28.0000;0.8450;0.0000;8.4000;1.5417;8 14 27 38 48 59
92;10;48.4867;28.0000;0.9350;0.8017;15.4000;3.3500;2 20 27 34 37 45 49 53 55 59
95;6;39.8067;28.0000;0.4067;0.0000;8.4000;3.0000;10 18 23 39 46 56
96;8;45.3808;28.0000;2.8750;0.1183;11.2000;3.1875;3 20 21 27 37 49 53 59
97;12;48.9700;28.0000;0.8925;0.8817;16.8000;2.3958;8 15 20 30 34 37 45 49 53 55 56 59
99;6;39.1050;28.0000;0.7883;0.0000;8.4000;1.9167;10 13 20 30 34 55
