id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;5;38.7500;28.0000;0.6500;0.0000;8.4000;1.7000;6 18 37 47 52
100;6;40.6333;28.0000;0.8333;0.0000;9.8000;2.0000;11 17 22 36 39 51
101;4;39.5250;28.0000;1.6875;0.0000;8.4000;1.4375;4 37 49 50
102;4;40.8937;28.0000;0.5312;0.0000;9.8000;2.5625;12 17 22 28
106;5;40.7500;30.0000;0.9000;0.0000;7.5000;2.3500;13 26 45 46 54
107;5;39.9500;28.0000;1.0500;0.0000;8.4000;2.5000;7 24 37 46 54
110;3;39.1917;28.0000;0.4583;0.0000;8.4000;2.3333;6 25 28
111;4;39.2750;28.0000;0.6875;0.0000;8.4000;2.1875;3 36 39 54
112;3;41.1500;28.0000;3.0000;0.0000;8.4000;1.7500;4 32 54
113;4;38.6500;28.0000;0.2500;0.0000;8.4000;2.0000;11 16 30 52
114;4;41.2125;28.0000;2.7500;0.0000;8.4000;2.0625;7 22 32 54
117;5;38.8500;28.0000;0.5500;0.0000;8.4000;1.9000;6 15 36 43 51
118;5;39.5000;28.0000;1.0000;0.0000;8.4000;2.1000;10 22 36 44 51
120;7;43.0819;28.0000;1.1429;0.9533;11.2000;1.7857;10 21 22 25 36 40 51
121;4;40.0600;28.0000;1.5000;0.0350;8.4000;2.1250;23 37 47 52
123;5;40.0500;30.0000;0.6000;0.0000;7.5000;1.9500;6 17 39 48 53
124;4;39.0250;28.0000;1.0625;0.0000;8.4000;1.5625;1 36 45 55
125;6;41.1167;28.0000;0.1667;0.0000;11.2000;1.7500;3 10 17 36 39 54
126;6;44.0333;28.0000;3.0000;0.0000;11.2000;1.8333;11 16 22 24 34 53
127;5;40.1000;28.0000;1.0000;0.0000;8.4000;2.7000;9 18 37 46 53
130;5;39.3000;28.0000;1.0000;0.0000;8.4000;1.9000;10 17 36 43 54
15;4;39.7750;28.0000;0.7500;0.0000;8.4000;2.6250;9 21 34 52
18;8;44.7292;28.0000;1.0417;0.0000;14.0000;1.6875;10 17 21 24 25 34 49 53
19;5;39.3200;28.0000;0.7500;0.1200;8.4000;2.0500;6 22 37 46 53
2;4;40.5625;30.0000;1.0000;0.0000;7.5000;2.0625;23 39 47 54
