id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;5;40.0500;30.0000;0.7000;0.0000;7.5000;1.8500;8 14 44 48 52
100;5;39.4500;28.0000;0.8000;0.0000;8.4000;2.2500;10 24 36 38 51
101;5;39.6000;28.0000;0.9500;0.0000;8.4000;2.2500;10 17 36 39 55
102;5;39.0000;28.0000;0.4000;0.0000;8.4000;2.2000;10 25 37 46 54
106;3;38.8167;28.0000;1.1667;0.0000;8.4000;1.2500;6 24 29
107;5;39.3000;28.0000;1.0000;0.0000;8.4000;1.9000;6 15 36 43 54
110;4;39.3792;28.0000;0.5417;0.0000;8.4000;2.4375;6 25 34 55
111;5;39.1500;28.0000;0.6500;0.0000;8.4000;2.1000;10 24 36 39 53
112;4;41.2750;28.0000;3.0000;0.0000;8.4000;1.8750;12 15 32 54
113;4;37.7750;28.0000;0.2500;0.0000;8.4000;1.1250;12 22 31 55
114;5;40.3000;28.0000;2.0000;0.0000;8.4000;1.9000;7 17 37 48 51
117;5;39.4500;28.0000;0.7500;0.0000;8.4000;2.3000;11 18 36 39 53
118;4;39.5875;28.0000;1.2500;0.0000;8.4000;1.9375;9 15 31 51
120;5;41.1500;28.0000;1.3000;0.0000;9.8000;2.0500;3 24 36 44 53
121;4;40.1633;28.0000;1.5000;0.3883;8.4000;1.8750;1 37 47 52
123;5;40.3500;30.0000;0.8000;0.0000;7.5000;2.0500;11 17 44 47 55
124;5;39.3500;28.0000;1.2500;0.0000;8.4000;1.7000;12 26 36 44 50
125;5;41.7500;28.0000;0.8000;0.0000;11.2000;1.7500;3 22 35 49 54
126;5;43.5267;28.0000;3.0000;0.6767;9.8000;2.0500;11 16 31 49 53
127;5;39.0500;28.0000;0.8000;0.0000;8.4000;1.8500;6 17 37 46 52
130;5;39.3500;28.0000;0.8000;0.0000;8.4000;2.1500;10 17 36 43 51
15;4;38.9000;28.0000;0.7500;0.0000;8.4000;1.7500;6 16 31 50
18;6;41.7833;28.0000;1.0000;0.0000;11.2000;1.5833;3 24 25 37 49 53
19;3;39.1500;28.0000;0.7500;0.0000;8.4000;2.0000;10 25 28
2;4;40.0067;28.0000;1.0000;0.3567;8.4000;2.2500;23 37 47 51
21;4;38.9833;28.0000;0.8333;0.0000;8.4000;1.7500;12 16 34 50
